location	missed	missed_prop	inferred	start_date	end_date
California, US	7600	73.86%	10290	2020-01-09	2020-03-19
Minnesota, US	778	87.81%	886	2020-02-06	2020-03-13
New York, US	26222	54.67%	47962	2020-01-31	2020-03-17
Washington, US	19101	80.72%	23664	2020-01-24	2020-03-24
Guangdong, China	2908	69.14%	4206	2019-12-16	2020-02-10
Hong Kong, China	802	89.31%	898	2019-12-22	2020-02-24
Hubei, China	143262	82.69%	173254	2019-11-11	2020-02-03
Shanghai, China	8211	96.22%	8534	2019-12-18	2020-02-10
Iceland	2775	80.48%	3448	2020-01-30	2020-03-18
Italy	114126	63.97%	178398	2020-01-01	2020-03-17
Japan	2155	89.72%	2402	2019-12-23	2020-02-23
