location	burnin_both	burnin_epi	burnin_gen	ess_both	ess_epi	ess_gen
netherlands	1914	12	15	13.137743757809822	358.9173803443619	72.63272759226652
france	2	NA	NA	18.064199379382213	NA	NA
switzerland	10	NA	NA	46.82303678273726	NA	NA
italy	392	2	95	277.5356168875392	57.96283703804735	915.6943582313775
unitedkingdom	206	199	2	555.0631460872225	158.26417963303155	335.13256294405033
hubei	389	828	524	204.52126959748003	197.36928107358887	466.92484290052977
hongkong	12	12	2	966.7837343935429	597.5454113388438	201.03581540457924
newyork	27	8	141	740.8635437479317	295.6538117402843	1743.152489958063
guangdong	768	2	267	812.1521855424356	378.5757756166441	847.9340998111286
iceland	276	2334	36	1144.253562901435	394.3197103526289	806.7304973221784
washington	16	218	24	743.3314660408355	396.8186620430691	1360.948790732468
california	83	260	178	628.416629130942	646.3471971723599	405.18029615705296
minnesota	60	9	25	1243.8940407483983	493.23098821264637	1019.9086326880137
shanghai	4	30	242	784.4276676384743	725.9002574750339	664.8737189574559
japan	63	66	1798	918.4564716636052	727.4568539565879	937.6296638163838
