date	new_cases
2020-01-23	1
2020-01-24	0
2020-01-25	0
2020-01-26	0
2020-01-27	0
2020-01-28	0
2020-01-29	0
2020-01-30	0
2020-01-31	1
2020-02-01	0
2020-02-02	2
2020-02-03	2
2020-02-04	2
2020-02-05	0
2020-02-06	0
2020-02-07	0
2020-02-08	0
2020-02-09	0
2020-02-10	0
2020-02-11	0
2020-02-12	0
2020-02-13	0
2020-02-14	0
2020-02-15	0
2020-02-16	0
2020-02-17	2
2020-02-18	2
2020-02-19	3
2020-02-20	1
2020-02-21	8
2020-02-22	4
2020-02-23	15
2020-02-24	11
2020-02-25	16
2020-02-26	26
2020-02-27	42
2020-02-28	40
2020-02-29	52
2020-03-01	49
2020-03-02	60
2020-03-03	102
2020-03-04	93
2020-03-05	129
2020-03-06	193
2020-03-07	267
2020-03-08	326
2020-03-09	353
2020-03-10	439
2020-03-11	535
2020-03-12	669
2020-03-13	735
2020-03-14	995
2020-03-15	1117
2020-03-16	1166
2020-03-17	1379
2020-03-18	1632
2020-03-19	1883
2020-03-20	2209
2020-03-21	2329
2020-03-22	2331
2020-03-23	2156
2020-03-24	1839
