date	new_cases
2019-12-05	1
2019-12-06	2
2019-12-07	0
2019-12-08	2
2019-12-09	1
2019-12-10	1
2019-12-11	0
2019-12-12	1
2019-12-13	3
2019-12-14	4
2019-12-15	4
2019-12-16	1
2019-12-17	2
2019-12-18	2
2019-12-19	3
2019-12-20	2
2019-12-21	3
2019-12-22	9
2019-12-23	6
2019-12-24	3
2019-12-25	10
2019-12-26	9
2019-12-27	7
2019-12-28	11
2019-12-29	19
2019-12-30	23
2019-12-31	30
2020-01-01	37
2020-01-02	31
2020-01-03	31
2020-01-04	28
2020-01-05	30
2020-01-06	26
2020-01-07	20
2020-01-08	16
2020-01-09	16
2020-01-10	17
2020-01-11	12
2020-01-12	11
2020-01-13	24
2020-01-14	40
2020-01-15	64
2020-01-16	126
2020-01-17	207
2020-01-18	302
2020-01-19	432
2020-01-20	675
2020-01-21	858
2020-01-22	1121
2020-01-23	1255
2020-01-24	1502
2020-01-25	1837
2020-01-26	2196
2020-01-27	2647
2020-01-28	2842
2020-01-29	2839
2020-01-30	2765
2020-01-31	2664
2020-02-01	2513
2020-02-02	2649
2020-02-03	0
