date	new_cases
2020-01-25	1
2020-01-26	0
2020-01-27	0
2020-01-28	0
2020-01-29	0
2020-01-30	0
2020-01-31	0
2020-02-01	0
2020-02-02	0
2020-02-03	1
2020-02-04	1
2020-02-05	1
2020-02-06	1
2020-02-07	0
2020-02-08	1
2020-02-09	1
2020-02-10	2
2020-02-11	6
2020-02-12	13
2020-02-13	17
2020-02-14	26
2020-02-15	58
2020-02-16	89
2020-02-17	106
2020-02-18	96
2020-02-19	153
2020-02-20	197
2020-02-21	252
2020-02-22	305
2020-02-23	434
2020-02-24	464
2020-02-25	577
2020-02-26	687
2020-02-27	808
2020-02-28	974
2020-02-29	1103
2020-03-01	1366
2020-03-02	1512
2020-03-03	1743
2020-03-04	1919
2020-03-05	2256
2020-03-06	2711
2020-03-07	3262
2020-03-08	3733
2020-03-09	3909
2020-03-10	4027
2020-03-11	4402
2020-03-12	4638
2020-03-13	5313
2020-03-14	5846
2020-03-15	5654
2020-03-16	5607
